Generation,NumConvLayers,ConvSize,NumFCLayers,FCSize,Accuracy,Fitness,Training time
6,4,49,1,29,0.7145000100135803,0.3038932218445793,224.46819233894348
6,3,151,2,230,0.7642999887466431,0.2644101204994508,777.2938456535339
6,5,202,2,212,0.7802000045776367,0.2509807060566586,1284.1196901798248
6,4,82,4,230,0.7346000075340271,0.28317941139662156,392.749076128006
6,3,121,1,132,0.770799994468689,0.2830785789580443,528.3465003967285
6,3,121,1,65,0.7630000114440918,0.28112700272453645,517.6972513198853
6,5,121,1,194,0.7810999751091003,0.28196013116789553,589.1823420524597
6,1,23,2,25,0.6151000261306763,0.3029275223720154,107.28000617027283
6,4,193,1,212,0.7578999996185303,0.24903126326053465,1105.0781319141388
6,4,49,1,227,0.7414000034332275,0.3141724658364505,229.00783967971802
6,4,82,4,230,0.7567999958992004,0.29173342108003825,392.7797725200653
6,1,142,2,21,0.6093999743461609,0.23933885839495406,351.70672130584717
6,4,121,2,29,0.7669000029563904,0.2794553111745212,554.9668626785278
7,4,72,1,230,0.6848000288009644,0.28214869592527886,267.35549545288086
7,4,82,4,230,0.7621999979019165,0.29352412118946836,395.11192989349365
7,4,121,1,194,0.7994999885559082,0.29160823377948114,551.6861639022827
7,2,49,1,227,0.7408000230789185,0.3172919440661592,216.15155935287476
7,5,202,2,227,0.8011999726295471,0.25781620717585896,1281.2682266235352
7,4,49,1,212,0.7307000160217285,0.3102937583901831,226.39422130584717
7,3,256,2,194,0.7506999969482422,0.2347562086040002,1576.8322269916534
7,5,121,1,65,0.7821000218391418,0.2825306635604413,586.4016487598419
7,4,121,2,229,0.7811999917030334,0.28380226225617033,565.7450137138367
7,1,23,2,25,0.6133000254631042,0.3014348031945352,108.29354500770569
7,4,82,4,25,0.663100004196167,0.25804233959861,371.307177066803
7,2,121,4,194,0.7490000128746033,0.2716353312550726,571.9700803756714
7,1,142,1,230,0.675599992275238,0.22070220964353,1151.1669821739197
7,4,72,2,21,0.7383999824523926,0.30414588028477385,267.7825620174408
7,5,121,1,111,0.7850000262260437,0.2835682247288249,586.5341913700104
7,3,121,1,194,0.7840999960899353,0.2874084385864662,534.7775752544403
7,5,121,2,25,0.7350999712944031,0.2650747337322093,593.1712317466736
7,1,23,1,194,0.6230000257492065,0.28211031699032446,161.568261384964
7,2,49,1,159,0.7411999702453613,0.3108508291351096,302.2244324684143
7,4,121,1,194,0.7572000026702881,0.27591191040733165,555.078202009201
8,1,23,1,194,0.682699978351593,0.31170216841588144,154.96432399749756
8,4,121,1,194,0.7878999710083008,0.2871754394372896,554.1392683982849
8,4,121,1,194,0.7738999724388123,0.2821011145781953,553.7866525650024
8,4,195,4,230,0.7889000177383423,0.2573345156166207,1163.2138359546661
8,2,82,4,25,0.5669999718666077,0.22633623001714287,319.97971963882446
8,4,49,1,35,0.7480000257492065,0.31791522827342744,225.33494663238525
8,4,82,4,230,0.7644000053405762,0.2941945173837429,396.5344591140747
8,4,201,1,194,0.7797999978065491,0.2533267863145095,1197.3949949741364
8,4,121,1,194,0.7551000118255615,0.2746961457899241,560.8613362312317
8,5,202,2,227,0.7926999926567078,0.2550637713380591,1281.8883469104767
8,4,82,4,65,0.7213000059127808,0.2802768886206254,374.56441926956177
8,5,121,1,25,0.7720999717712402,0.27893056381767495,586.2357726097107
8,4,121,2,227,0.7810999751091003,0.283592176968763,567.9462034702301
8,2,49,1,229,0.7117000222206116,0.3046595229211413,216.7956039905548
8,5,121,2,25,0.7785000205039978,0.28096226577784217,589.9766035079956
8,3,256,2,194,0.8176000118255615,0.2557308938110649,1574.3846125602722
8,4,72,2,21,0.751800000667572,0.30971108189582824,267.5615088939667
8,4,121,1,194,0.7641000151634216,0.27854983368521713,553.5231378078461
8,2,72,1,230,0.7357000112533569,0.3001725976194924,282.438107252121
8,4,49,1,159,0.7354000210762024,0.31245557004837,225.74320912361145
9,4,121,1,194,0.7976999878883362,0.2906183201128182,555.6959617137909
9,4,201,1,194,0.7993999719619751,0.26017614959241153,1181.7718479633331
9,1,23,1,194,0.6614999771118164,0.30184061009117363,155.43683195114136
9,1,23,1,194,0.6866000294685364,0.31390186570683315,153.92455124855042
9,1,23,2,194,0.6585999727249146,0.29698840256541276,165.0421679019928
9,4,121,2,227,0.7515000104904175,0.2729328452786351,566.7931599617004
9,2,202,2,227,0.7590000033378601,0.24570009201484036,1227.8122041225433
9,5,202,2,227,0.7549999952316284,0.24230949655836745,1305.7192149162292
9,4,121,1,194,0.7251999974250793,0.2627822631134208,575.0414960384369
9,4,121,1,194,0.8069999814033508,0.28766556675252636,638.7646961212158
9,4,23,1,194,0.6018999814987183,0.2699775288292312,169.60737776756287
9,5,49,1,159,0.7594000101089478,0.30985825819492124,282.3566589355469
9,4,49,1,194,0.7350000143051147,0.3075034936343657,245.59345722198486
